화면명	기능 코드	기능	세부기능	상세 내용
메인화면	MAIN-000	개인화 추천 레시피 노출	온보딩 정보 기반 후보 생성	1. 입력: 선호 음식 유형, 가족 구성원 수, 알레르기 정보 / 2. 팬트리 데이터를 사용하지 않는 경로 (팬트리 기반은 RECIPE-001)
			알레르기 식재료 포함 레시피 제외	1. 사용자가 등록한 알레르기 유발 식재료가 주재료·부재료에 포함된 레시피 제외
			선호 음식 유형 우선 정렬	1. 레시피 메타데이터의 음식 유형 필드와 사용자 선택값 비교
			가족 구성원 수 → 권장 조리량 반영	1. [미결정] 필터 방식인지 표시값 스케일링 방식인지 확정 필요
			공통 제외 필터	1. 비공개 / 삭제·운영 중지 / 필수 주재료 미등록 레시피 제외
			폴백	1. 온보딩 정보가 없거나 조건 충족 레시피가 0건 / 2. 운영자 지정 목록 우선 / 3. 없으면 품질 필터 통과 레시피 중 랜덤
팬트리	PANTRY-004	팬트리 - 영수증 이미지(OCR) 등록	이미지 수신·검증	1. 허용 포맷(JPG,PNG), 용량 상한, 매수 제한 / 2. 위반 시 OCR 호출 전 에러
			OCR API 호출	1. 전용 OCR API 사용 / 2. 타임아웃·재시도·오류 코드 매핑
			품목 파싱	1. 품목명, 수량, 금액, 구매일 추출 / 2. 품목명 원문 보존 / 3. 구매일 없으면 사용자 입력
			식재료 여부 판정	1. 비식재료 제외 / 2. 품목 파싱과 동일 LLM 호출에 통합
			식재료 사전 매핑	1. 마트 표기 → 식재료 ID / 2. 사전에 없는 값 생성 금지
			미매칭 항목 보류 처리	1. 삭제하지 않고 '직접 입력 필요' 상태 / 2. 사용자 입력 시 수기 등록분
			소비기한 산정	1. 구매일 + 식재료별 소비 가능 기간 N일
			개인정보 마스킹	1. 카드번호·승인번호·가맹점·전화번호 미추출 / 2. OCR 원문 미저장
			신뢰도 산출 및 응답 조립	1. 확정 후보 + 미매칭 목록 + 구매일 + 항목별 신뢰도 / 2. 사용자 확인·수정 화면(PANTRY-003 폼 재사용)으로 전달
			실패 응답 및 에러 코드	1. 이미지 검증/OCR/LLM 파싱 실패를 구분된 코드로
			[비기능] 응답 시간	1. 건당 5~10초 / 2. 동기 API, 타임아웃 30초
			[비기능] 건당 비용	1. OCR+LLM 각각 과금. 건당 목표 비용 산정
레시피	RECIPE-001	팬트리 데이터가 있는 경우 레시피 추천	후보 생성	1. 식재료 ID → 레시피 역색인 / 2. 입력: '요리 가능 ON' 식재료
			랭킹 1순위 — 주재료 일치	1. 보유 식재료와 주재료 1개 이상 일치
			랭킹 2순위 — 소비기한 임박 우선	1. 임박(3일 미만) 식재료가 주재료 / 2. 임박 3개까지
			랭킹 3순위 — 충족 개수	1. 동일하면 주재료 충족 개수 많은 순
			제외 필터	1. 알레르기 / 2. 비공개 / 3. 삭제·운영중지 / 4. 필수 주재료 미등록
			잔여 소비 모드 정렬	1. 임박 → 잔여 기간 짧은 순 → 정보 없음
			대체 재료 반영	1. 대체 재료 사전으로 충족 판정 / 2. 플래그로 UI 구분
			추천 이유 문구 생성	1. (레시피ID × 매칭 주재료) 캐시 / 2. 템플릿 + 변수 치환
			주재료 복수 요리 처리	1. 낙곱새·곱도리탕 등 / 2. 하나라도 일치하면 후보
			폴백	1. 팬트리 비었거나 0건 / 2. 운영자 지정 → 랜덤
			임베딩 재랭킹	1. 룰만으로 순서가 안 갈릴 때 임베딩 유사도
			[비기능] 응답 시간	1. 목표 상한 설정 필요
