ingredient_name,unit,grams_per_unit,source,confidence,note
대파,대,100,seed,0.8,흰부분만이면 약 60
대파,뿌리,100,seed,0.8,
쪽파,단,100,seed,0.7,
실파,단,100,seed,0.7,
양파,개,200,seed,0.85,중간 크기 기준
적양파,개,200,seed,0.8,
마늘,쪽,5,seed,0.9,
마늘,통,50,seed,0.8,
다진마늘,큰술,15,seed,0.9,계량단위지만 관행상 명시
생강,쪽,10,seed,0.7,
생강,톨,20,seed,0.6,
감자,개,150,seed,0.85,
고구마,개,200,seed,0.8,
당근,개,180,seed,0.85,
무,개,1000,seed,0.7,크기 편차 큼
무,토막,200,seed,0.6,
알타리무,개,60,seed,0.6,
애호박,개,250,seed,0.85,
단호박,개,900,seed,0.7,
주키니,개,300,seed,0.7,
오이,개,200,seed,0.85,
백오이,개,220,seed,0.8,
가지,개,120,seed,0.8,
토마토,개,150,seed,0.85,
방울토마토,개,15,seed,0.9,
파프리카,개,180,seed,0.85,
피망,개,100,seed,0.85,
청양고추,개,7,seed,0.9,
홍고추,개,10,seed,0.85,
풋고추,개,12,seed,0.85,
꽈리고추,개,8,seed,0.8,
오이고추,개,25,seed,0.8,
건고추,개,3,seed,0.8,
배추,포기,2500,seed,0.6,크기 편차 매우 큼
배추,장,50,seed,0.7,
알배추,포기,800,seed,0.7,
양배추,개,1200,seed,0.7,
양배추,장,30,seed,0.75,
상추,장,5,seed,0.85,
적상추,장,5,seed,0.85,
깻잎,장,3,seed,0.9,
시금치,단,200,seed,0.75,
시금치,줌,50,seed,0.6,
부추,단,150,seed,0.75,
부추,줌,50,seed,0.6,
미나리,단,150,seed,0.7,
쑥갓,단,100,seed,0.7,
열무,단,600,seed,0.6,
얼갈이배추,단,500,seed,0.6,
청경채,개,60,seed,0.8,
콩나물,봉,300,seed,0.85,
콩나물,줌,50,seed,0.6,
숙주,봉,300,seed,0.85,
숙주,줌,50,seed,0.6,
브로콜리,개,300,seed,0.8,
브로콜리,송이,30,seed,0.75,
콜리플라워,개,400,seed,0.7,
연근,개,300,seed,0.7,
우엉,대,150,seed,0.7,
도라지,줌,50,seed,0.6,
옥수수,개,250,seed,0.8,
셀러리,대,60,seed,0.8,
아스파라거스,개,20,seed,0.85,
마늘종,줌,50,seed,0.6,
고사리,줌,50,seed,0.6,
표고버섯,개,20,seed,0.85,
건표고버섯,개,5,seed,0.8,
느타리버섯,봉,150,seed,0.8,
느타리버섯,줌,50,seed,0.6,
팽이버섯,봉,150,seed,0.85,
새송이버섯,개,60,seed,0.85,
양송이버섯,개,20,seed,0.85,
만가닥버섯,봉,150,seed,0.8,
사과,개,250,seed,0.85,
배,개,400,seed,0.8,
복숭아,개,220,seed,0.8,
자두,개,70,seed,0.8,
딸기,개,15,seed,0.85,
포도,송이,400,seed,0.6,
레몬,개,100,seed,0.85,
라임,개,60,seed,0.85,
오렌지,개,200,seed,0.8,
귤,개,90,seed,0.85,
자몽,개,350,seed,0.8,
바나나,개,120,seed,0.85,
키위,개,80,seed,0.85,
아보카도,개,200,seed,0.8,
망고,개,300,seed,0.7,
파인애플,개,1000,seed,0.6,
달걀,개,50,seed,0.95,껍질 제외 기준
달걀,알,50,seed,0.95,
메추리알,개,10,seed,0.9,
달걀노른자,개,17,seed,0.9,
달걀흰자,개,33,seed,0.9,
닭가슴살,개,200,seed,0.8,
닭가슴살,쪽,200,seed,0.8,
닭안심,개,40,seed,0.85,
닭다리,개,120,seed,0.8,
닭다리살,장,150,seed,0.75,
닭날개,개,50,seed,0.85,
닭봉,개,40,seed,0.85,
통닭,마리,1200,seed,0.75,
닭발,개,25,seed,0.8,
소고기,근,600,seed,0.9,축산물 1근은 600g
돼지고기,근,600,seed,0.9,
삼겹살,근,600,seed,0.9,
목살,근,600,seed,0.9,
새우,마리,15,seed,0.8,
대하,마리,25,seed,0.8,
건새우,줌,10,seed,0.6,
꽃게,마리,250,seed,0.75,
대게,마리,700,seed,0.6,
고등어,마리,400,seed,0.75,
삼치,마리,500,seed,0.7,
꽁치,마리,150,seed,0.8,
갈치,마리,300,seed,0.7,
조기,마리,150,seed,0.75,
가자미,마리,200,seed,0.7,
임연수어,마리,250,seed,0.7,
동태,마리,600,seed,0.7,
명태,마리,600,seed,0.7,
코다리,마리,300,seed,0.75,
황태,마리,80,seed,0.7,
북어,마리,80,seed,0.7,
연어,토막,150,seed,0.75,
오징어,마리,250,seed,0.8,
낙지,마리,150,seed,0.75,
문어,마리,800,seed,0.6,
주꾸미,마리,60,seed,0.8,
한치,마리,150,seed,0.7,
바지락,봉,300,seed,0.8,
바지락,줌,100,seed,0.6,
모시조개,봉,300,seed,0.75,
홍합,개,20,seed,0.8,
홍합,봉,500,seed,0.7,
굴,봉,200,seed,0.8,
전복,개,60,seed,0.8,
가리비,개,40,seed,0.8,
멸치,줌,10,seed,0.65,
잔멸치,줌,10,seed,0.65,
국물용멸치,줌,15,seed,0.6,
김,장,2,seed,0.9,
조미김,봉,5,seed,0.8,
미역,줌,10,seed,0.6,불리기 전 기준
건미역,줌,10,seed,0.6,
다시마,장,5,seed,0.8,
두부,모,300,seed,0.9,
두부,팩,300,seed,0.9,
부침용두부,모,300,seed,0.9,
찌개용두부,모,300,seed,0.9,
순두부,봉,350,seed,0.85,
연두부,팩,150,seed,0.85,
유부,장,10,seed,0.85,
도토리묵,모,400,seed,0.8,
청포묵,모,400,seed,0.8,
어묵,장,40,seed,0.8,
사각어묵,장,40,seed,0.85,
맛살,개,17,seed,0.85,
햄,장,20,seed,0.8,
슬라이스햄,장,20,seed,0.85,
소시지,개,30,seed,0.8,
비엔나소시지,개,8,seed,0.85,
베이컨,장,20,seed,0.85,
스팸,캔,200,seed,0.9,
