name,category_path,is_staple,is_seasoning,allergen_group,note
배추,agri.veg.leafy,false,false,,
알배추,agri.veg.leafy,false,false,,품종이 다름 배추와 구분
양배추,agri.veg.leafy,false,false,,
적양배추,agri.veg.leafy,false,false,,
상추,agri.veg.leafy,false,false,,
적상추,agri.veg.leafy,false,false,,
로메인,agri.veg.leafy,false,false,,
시금치,agri.veg.leafy,false,false,,
깻잎,agri.veg.leafy,false,false,,
쑥갓,agri.veg.leafy,false,false,,
부추,agri.veg.leafy,false,false,,
청경채,agri.veg.leafy,false,false,,
근대,agri.veg.leafy,false,false,,
미나리,agri.veg.leafy,false,false,,
아욱,agri.veg.leafy,false,false,,
열무,agri.veg.leafy,false,false,,
얼갈이배추,agri.veg.leafy,false,false,,
케일,agri.veg.leafy,false,false,,
치커리,agri.veg.leafy,false,false,,
루꼴라,agri.veg.leafy,false,false,,
겨자잎,agri.veg.leafy,false,false,,
방울양배추,agri.veg.leafy,false,false,,
무,agri.veg.root,false,false,,
알타리무,agri.veg.root,false,false,,
당근,agri.veg.root,false,false,,
감자,agri.veg.root,false,false,,
고구마,agri.veg.root,false,false,,
양파,agri.veg.root,false,false,,
적양파,agri.veg.root,false,false,,
마늘,agri.veg.root,false,false,,통마늘. 다진마늘과 별개
생강,agri.veg.root,false,false,,
연근,agri.veg.root,false,false,,
우엉,agri.veg.root,false,false,,
도라지,agri.veg.root,false,false,,
더덕,agri.veg.root,false,false,,
비트,agri.veg.root,false,false,,
마,agri.veg.root,false,false,,
순무,agri.veg.root,false,false,,
래디시,agri.veg.root,false,false,,
야콘,agri.veg.root,false,false,,
토란,agri.veg.root,false,false,,
오이,agri.veg.fruitveg,false,false,,
백오이,agri.veg.fruitveg,false,false,,
애호박,agri.veg.fruitveg,false,false,,단호박과 다른 재료
단호박,agri.veg.fruitveg,false,false,,
늙은호박,agri.veg.fruitveg,false,false,,
주키니,agri.veg.fruitveg,false,false,,
가지,agri.veg.fruitveg,false,false,,
토마토,agri.veg.fruitveg,false,false,,
방울토마토,agri.veg.fruitveg,false,false,,
대추방울토마토,agri.veg.fruitveg,false,false,,
파프리카,agri.veg.fruitveg,false,false,,
피망,agri.veg.fruitveg,false,false,,
여주,agri.veg.fruitveg,false,false,,
대파,agri.veg.stem,false,false,,
쪽파,agri.veg.stem,false,false,,대파와 다른 재료
실파,agri.veg.stem,false,false,,
셀러리,agri.veg.stem,false,false,,
아스파라거스,agri.veg.stem,false,false,,
죽순,agri.veg.stem,false,false,,
마늘종,agri.veg.stem,false,false,,
청양고추,agri.veg.pepper,false,false,,
홍고추,agri.veg.pepper,false,false,,
풋고추,agri.veg.pepper,false,false,,
꽈리고추,agri.veg.pepper,false,false,,
오이고추,agri.veg.pepper,false,false,,
아삭이고추,agri.veg.pepper,false,false,,
할라피뇨,agri.veg.pepper,false,false,,
건고추,agri.veg.pepper,false,false,,
페퍼론치노,agri.veg.pepper,false,false,,
콩나물,agri.veg.namul,false,false,soy,
숙주,agri.veg.namul,false,false,,
고사리,agri.veg.namul,false,false,,
취나물,agri.veg.namul,false,false,,
시래기,agri.veg.namul,false,false,,
곤드레,agri.veg.namul,false,false,,
냉이,agri.veg.namul,false,false,,
달래,agri.veg.namul,false,false,,
두릅,agri.veg.namul,false,false,,
원추리,agri.veg.namul,false,false,,
고구마순,agri.veg.namul,false,false,,
토란대,agri.veg.namul,false,false,,
브로콜리,agri.veg.othveg,false,false,,
콜리플라워,agri.veg.othveg,false,false,,
옥수수,agri.veg.othveg,false,false,,
그린빈,agri.veg.othveg,false,false,,
오크라,agri.veg.othveg,false,false,,
표고버섯,agri.mushroom,false,false,,
건표고버섯,agri.mushroom,false,false,,불림 필요. 생표고와 조리법 다름
느타리버섯,agri.mushroom,false,false,,
팽이버섯,agri.mushroom,false,false,,
새송이버섯,agri.mushroom,false,false,,
양송이버섯,agri.mushroom,false,false,,
목이버섯,agri.mushroom,false,false,,
만가닥버섯,agri.mushroom,false,false,,
백만송이버섯,agri.mushroom,false,false,,
송이버섯,agri.mushroom,false,false,,
능이버섯,agri.mushroom,false,false,,
노루궁뎅이버섯,agri.mushroom,false,false,,
사과,agri.fruit.pome,false,false,,
배,agri.fruit.pome,false,false,,
복숭아,agri.fruit.stone,false,false,peach,
자두,agri.fruit.stone,false,false,peach,
체리,agri.fruit.stone,false,false,,
살구,agri.fruit.stone,false,false,peach,
매실,agri.fruit.stone,false,false,,
대추,agri.fruit.stone,false,false,,
딸기,agri.fruit.berry,false,false,,
포도,agri.fruit.berry,false,false,,
청포도,agri.fruit.berry,false,false,,
블루베리,agri.fruit.berry,false,false,,
크랜베리,agri.fruit.berry,false,false,,
라즈베리,agri.fruit.berry,false,false,,
레몬,agri.fruit.citrus,false,false,,
라임,agri.fruit.citrus,false,false,,
오렌지,agri.fruit.citrus,false,false,,
귤,agri.fruit.citrus,false,false,,
한라봉,agri.fruit.citrus,false,false,,
자몽,agri.fruit.citrus,false,false,,
유자,agri.fruit.citrus,false,false,,
바나나,agri.fruit.tropical,false,false,,
파인애플,agri.fruit.tropical,false,false,,
망고,agri.fruit.tropical,false,false,,
아보카도,agri.fruit.tropical,false,false,,
